Reference Number,Cluster
ARA201901891,186
20221AGWA,1021
FIN873DLGSCAG,1622
2020153WAM,1021
CUAHRS202117042023AC,1013
RFQ13042023ACT,15
E03052023ACT,624
RFQ06122022ACT2,15
CUAAFA201807032023AC,480
CUAPCS201829112022AC,1034
WR05042022ACT,754
E19012023ACT,129
E10022023ACT,478
E14122022ACT,616
E29112022ACT,621
RFQ08042022ACT,1034
E11102022ACT,1422
RFQ06042022PTT,772
RFQ06072022ACT,827
E12072022ACT,478
E05072022ACT,632
RFQ05042022PTT,1151
CUATPS201907072022AC,99
E10042022PTT,11
CUATPS201914062022PT,985
CUATPS201908042022PT,985
07012022PTT,1619
02022021DLGSCPTT,1021
04022022CUATP2019,1429
18122020DLGSCPTT,255
02122020DLGSCPTT,272
204340DLGSC,436
PTT05062019,463
3092020DLGSCPTT,1358
E20402DLGSCPTT,1608
E20400DLGSCPTT,1969
E2019192449DLGSCPTT,1619
E2019CA1958DLGSCPTT,310
INF4CA20199,428
DBCABGPA20202023,937
DBCABGPA20052023,1612
DBCABGPA20122023,1929
DBCABGPA10452022,1160
DBCABGPA20022023,370
DBCABGPA10072023,368
DBCABGPA30162023,1004
DBCABGPA20032023,1224
DBCABGPA30362022,287
DBCABGPA20512022,1424
DBCABGPA20442022,570
DBCABGPA20462022,1639
DBCABGPA20012022,1034
DBCABGPA20292022,117
DBCABGPA20242022,1969
DBCABGPA20142022,312
DBCABGPA20112022,1859
DBCABGPA20172022,1644
DBCABGPA20232022,1644
DBCABGPA30242021,129
DBCABGPA20272022,1880
DBCABGPA20162022,176
DBCABGPA10202022,878
DBCABGPA20192022,1315
DBCABGPA20092022,1256
DBCABGPA10122022,1256
DBCABGPA20222022,287
DBCABGPA20102022,1465
DBCABGPA10312021,1916
DBCABGPA20152022,1236
DBCABGPA20102021,1532
DBCABGPA10012021,1844
DBCABGPA20332021,262
DBCABGPA20302021,1697
DBCABGPA20282021,1075
DBCABGPA20222021,122
DBCABGPA10132021,1274
DBCABGPA10122021,1256
DBCABGPA20172021,321
DBCABGPA20112021,1611
DBCABGPA20202021,234
DBCABGPA20152021,1474
DBCABGPA20142021,429
DBCABGPA30052021,581
DBCABGPA20182021,693
DBCABGPA30162021,918
DBCABGPA20072021,1114
DBCABGPA20022021,34
DBCABGPA20032021,538
DBCABGPA20232020,1596
DBCABGPA20092021,911
DBCA20082021,970
DBCABGPA20082021,970
DBCABGPA20212020,133
DBCABGPA20062021,429
DBCABGPA10202020,354
DBCABGPA20042021,462
DBCABGPA20092020,1114
DBCABGPA20142020,1794
DBCABGPA10242020,1091
DBCABGPA20062020,1256
DBCABGPA30182020,956
DBCABGPA20162020,643
DBCABGPA20112020,1000
DBCABGPA20122020,1208
DBCABGPA10172020,1871
DBCABGPA30132020,102
DBCABGPA20072020,270
DBCABGPA20232019,1462
DBCABGPA10242018,35
DBCABGPA20052020,354
DBCABGPA20202019,429
DBCABGPA20262019,1862
DBCABGPA20222019,1516
DBCABGPA20242019,1047
DBCABGPA20122019,1282
DBCABGPA20182019,1810
DBCABGPA10172019,56
DBCABGPA20152019,1403
DBCABGPA10162018,928
DBCABGPA20162019,1571
BPB20230501,1005
BPB202201,1951
BPB12513,534
RFQBPB202108,278
RFQBPB202104,750
BPB201901,1256
FINW0091123,84
FINW0079521,1463
FINW0083822,1051
