Cluster,Topics
0,"covid, program, water, surveillance, wastewater"
1,"advice, panel, technical, energy, advisory"
2,"school, education, rise, primary, tuart"
3,"mandatory, attendees, register, attend, entity"
4,"manager, medium, infrastructure, consultancy, health"
5,"deliver, articulated, licensed, loader, diesel"
6,"maintenance, term, doj, support, contract"
7,"mines, regulation, personnel, specified, dmirs"
8,"sports, hall, math, ec21, stem"
9,"new, nursing, accommodation, health, renovations"
10,"technical, personnel, cua, tps2019, dtf"
11,"south, beds, fremantle, health, mental"
12,"settlers, primary, school, cuaelc2012, electricity"
13,"1hr, ost, director, controls, officer"
14,"behalf, pty, pfm, programmed, quotes"
15,"sunset, eastbourne, lot, bathroom, bedroom"
16,"approach, region, structures, highway, superstructure"
17,"develop, communities, review, strategy, disability"
18,"801, psd, space, frame, perth"
19,"merredin, architectural, laboratory, refurbishment, science"
20,"harbours, fishing, boat, harbour, fremantle"
21,"regional, pressure, dpird, office, cleaning"
22,"cew, cahs, supply, energy, humidifiers"
23,"ps, gla, yard, wycombe, relocation"
24,"planning, state, incident, surge, testing"
25,"maintenance, replacement, earthworks, fencing, fence"
26,"consultation, engagement, online, platform, tool"
27,"cfrs, career, cardup, rescue, emergency"
28,"manual, ict, implementation, analyst, test"
29,"northern, west, highway, heritage, aboriginal"
30,"axle, supply, tactiles, install, ground"
31,"held, site, inspection, mandatory, attendance"
32,"asset, assistant, accountant, officer, accounts"
33,"roll, analyst, cuatps2019, support, desktop"
34,"pfm, thornlie, refreshments, toilet, refreshment"
35,"upgrade, wheatbelt, wa, country, health"
36,"upgrade, replacement, infrastructure, control, network"
37,"gairdner, hospital, oncology, dose, radiation"
38,"air, showcase, carnarvon, police, cell"
39,"operations, administration, staff, engagement, clerical"
40,"motor, stop, school, bus, geraldton"
41,"plinths, conrete, filter, hbfs, block"
42,"inlet, categories, narrogin, category, cleaning"
43,"components, walls, mila, operable, wall"
44,"region, vehicles, road, kimberley, traffic"
45,"cost, wa, meekatharra, country, health"
46,"settlers, school, desktop, supply, computers"
47,"strategy, communications, strategic, customer, marketing"
48,"carpet, tiles, stadium, hbf, arena"
49,"mangrove, consultation, coast, marine, coastal"
50,"design, dfes, support, specialist, dis2"
51,"liquid, diagnostic, laboratory, genomics, pathwest"
52,"guard, nmhs, health, hospital, security"
53,"hss, support, health, emergency, purchase"
54,"bre, assessor, interface, rail, lxr"
55,"b712, units, valley, fitzroy, water"
56,"remote, essential, corporation, rems, municipal"
57,"road, mrs, impact, assessment, environmental"
58,"recall, administrative, systems, support, administration"
59,"form, cuaicts2015, cuatps2019, cuaicts2021, analyst"
60,"hardware, college, supply, equipment, network"
61,"office, western, australia, force, police"
62,"centre, hill, detention, banksia, juvenile"
63,"school, education, cost, studies, feasibility"
64,"ndis, internet, access, connectivity, network"
65,"database, consultant, cuaicts2015, scheduler, manager"
66,"joel, way, mwg15, refurbishment, sherp"
67,"buses, education, denmark, agriculture, college"
68,"toilet, ria, authority, island, rottnest"
69,"maintenance, supply, steriliser, sterilisers, steam"
70,"interface, microwave, systems, replacement, radio"
71,"held, confirm, attendance, mandatory, site"
72,"expansion, kalgoorlie, core, library, drill"
73,"brief, description, master, cloud, architect"
74,"activation, strategy, 2050, bike, cycling"
75,"esperance, perth, mowing, campus, gardening"
76,"sites, schools, public, nominated, security"
77,"perth, transport, procurement, model, phase"
78,"health, centre, coordination, incident, state"
79,"covered, architectural, assembly, structural, education"
80,"office, health, regular, communities, cleaning"
81,"provide, contract, transport, school, bus"
82,"analysis, architecture, program, reform, infringement"
83,"police, vessels, trailer, metre, patrol"
84,"pty, contractors, programmed, pfm, quotes"
85,"closed, television, hospital, cameras, cctv"
86,"kits, laboratory, pathwest, medicine, microbiology"
87,"auditor, advisory, risk, internal, audit"
88,"pfm, programmed, school, completed, holidays"
89,"www, https, accepted, quotes, lodgement"
90,"digital, manager, analyst, technology, transformation"
91,"saas, maturity, data, software, solution"
92,"aged, kimberley, wa, wachs, care"
93,"local, derbarl, yerrigan, sport, cultural"
94,"community, school, grange, la, remote"
95,"hoist, health, preventative, testing, maintenance"
96,"quotes, play, nature, playground, ps"
97,"guildford, school, demolition, dhs, wickham"
98,"equipment, delivery, supply, handler, telescopic"
99,"installation, primary, education, school, gibbs"
100,"primary, installation, ps, classroom, education"
101,"water, maintenance, towers, cooling, chiller"
102,"ict, implementation, icwa, integration, developer"
103,"geotechnical, dmirs, mines, rehabilitation, abandoned"
104,"executive, program, plan, health, nmhs"
105,"skylights, stopping, protection, detection, safety"
106,"ict, migration, icts2015, cua, azure"
107,"major, administrative, clerical, support, personnel"
108,"solution, ict, cuaicts2015, implementation, development"
109,"assembly, railcar, depot, track, bellevue"
110,"kepwari, nulleywah, lake, neath, road"
111,"tafe, offers, titrators, stereo, microscopes"
112,"counselling, support, region, health, community"
113,"rooms, school, architectural, recovery, refurbishment"
114,"prerequisite, act, analysis, reforms, building"
115,"hospital, metropolitan, east, health, emhs"
116,"davidson, os, senior, network, engineer"
117,"classroom, additions, primary, education, harrisdale"
118,"refurbishment, yard, wycombe, classrooms, modular"
119,"joondalup, workplace, design, interior, fitout"
120,"backup, cuacmd2021, 108, apex, dell"
121,"mariadb, license, agreement, enterprise, microsoft"
122,"debris, block, risers, cleaning, asbestos"
123,"support, connectivity, administration, cuagnict2015, network"
124,"agile, officer, lead, manager, personnel"
125,"products, manjimup, forest, nursery, commission"
126,"commercial, track, line, morley, ellenbrook"
127,"eastern, road, slk, highway, great"
128,"playground, conservation, parks, zoological, zoo"
129,"medical, specialised, child, complex, care"
130,"guard, perth, alarm, patrols, security"
131,"dpird2021101, lambs, purchases, purchase, livestock"
132,"gsrs, digital, consultant, senior, procurement"
133,"hospital, lift, memorial, king, edward"
134,"subscription, enterprise, renewal, microsoft, agreement"
135,"maintenance, development, application, programming, analyst"
136,"bogies, hire, overhaul, vehicle, fleet"
137,"geraldton, nursery, finfish, hillarys, marine"
138,"technical, analyst, research, advisory, ict"
