Reference Number,Cluster
ARA201901891,1640
20221AGWA,475
FIN873DLGSCAG,1106
2020153WAM,671
CUAHRS202117042023AC,1974
RFQ13042023ACT,304
E03052023ACT,789
RFQ06122022ACT2,1762
CUAAFA201807032023AC,1635
CUAPCS201829112022AC,1121
WR05042022ACT,974
E19012023ACT,690
E10022023ACT,226
E14122022ACT,974
E29112022ACT,1895
RFQ08042022ACT,1762
E11102022ACT,1814
RFQ06042022PTT,489
RFQ06072022ACT,130
E12072022ACT,1719
E05072022ACT,1931
RFQ05042022PTT,388
CUATPS201907072022AC,592
E10042022PTT,383
CUATPS201914062022PT,1819
CUATPS201908042022PT,638
07012022PTT,544
02022021DLGSCPTT,1373
04022022CUATP2019,789
18122020DLGSCPTT,830
02122020DLGSCPTT,974
204340DLGSC,620
PTT05062019,948
3092020DLGSCPTT,1719
E20402DLGSCPTT,1762
E20400DLGSCPTT,1719
E2019192449DLGSCPTT,1838
E2019CA1958DLGSCPTT,627
INF4CA20199,1631
DBCABGPA20202023,1636
DBCABGPA20052023,1694
DBCABGPA20122023,1720
DBCABGPA10452022,967
DBCABGPA20022023,1370
DBCABGPA10072023,347
DBCABGPA30162023,1240
DBCABGPA20032023,437
DBCABGPA30362022,1674
DBCABGPA20512022,474
DBCABGPA20442022,1446
DBCABGPA20462022,474
DBCABGPA20012022,843
DBCABGPA20292022,1632
DBCABGPA20242022,1358
DBCABGPA20142022,843
DBCABGPA20112022,1658
DBCABGPA20172022,474
DBCABGPA20232022,1641
DBCABGPA30242021,1249
DBCABGPA20272022,406
DBCABGPA20162022,474
DBCABGPA10202022,1990
DBCABGPA20192022,1427
DBCABGPA20092022,1658
DBCABGPA10122022,76
DBCABGPA20222022,1982
DBCABGPA20102022,411
DBCABGPA10312021,1658
DBCABGPA20152022,316
DBCABGPA20102021,304
DBCABGPA10012021,1632
DBCABGPA20332021,437
DBCABGPA20302021,1139
DBCABGPA20282021,1788
DBCABGPA20222021,1084
DBCABGPA10132021,327
DBCABGPA10122021,1658
DBCABGPA20172021,1635
DBCABGPA20112021,233
DBCABGPA20202021,1096
DBCABGPA20152021,1636
DBCABGPA20142021,1636
DBCABGPA30052021,748
DBCABGPA20182021,1632
DBCABGPA30162021,1067
DBCABGPA20072021,1427
DBCABGPA20022021,772
DBCABGPA20032021,563
DBCABGPA20232020,335
DBCABGPA20092021,142
DBCA20082021,1641
DBCABGPA20082021,1641
DBCABGPA20212020,437
DBCABGPA20062021,474
DBCABGPA10202020,1990
DBCABGPA20042021,474
DBCABGPA20092020,570
DBCABGPA20142020,661
DBCABGPA10242020,82
DBCABGPA20062020,333
DBCABGPA30182020,464
DBCABGPA20162020,915
DBCABGPA20112020,1358
DBCABGPA20122020,1358
DBCABGPA10172020,1650
DBCABGPA30132020,1067
DBCABGPA20072020,976
DBCABGPA20232019,474
DBCABGPA10242018,778
DBCABGPA20052020,351
DBCABGPA20202019,474
DBCABGPA20262019,1257
DBCABGPA20222019,1871
DBCABGPA20242019,474
DBCABGPA20122019,843
DBCABGPA20182019,686
DBCABGPA10172019,399
DBCABGPA20152019,1056
DBCABGPA10162018,1990
DBCABGPA20162019,506
BPB20230501,47
BPB202201,1538
BPB12513,306
RFQBPB202108,306
RFQBPB202104,306
BPB201901,306
FINW0091123,1404
FINW0079521,1404
FINW0083822,1958
FINW0193521,187
FINW0196721,71
FINW0079521A,247
FINW0847220,1888
FIN0423419,306
BMW0373219,71
BMW0407219,306
FIN0423319,306
TWDT03532022,489
CRTF230000626,953
CRTF230000402,635
CRT201904236A,843
CRTF230000263,474
CRTF230000370,1370
CRTF220000634,906
FINW0530022,1417
CRTF220001044,164
CRTF220000937,336
CRTF220000633,1185
CRTF220000857,1173
CRTF220000763,991
CRTF220000786,1126
CRTF200001038,582
CRTF210001002,582
CRTF210000844,779
CRTF210000431A,1504
CRTF210000966,1126
CRTF210000763,813
CRTF210000713,1540
CRTF210000718,991
CRTF210000622,991
CRTF210000431,226
CRTF210000432,1427
TWDT0272020B,1271
CRTF210000419,1507
CRTF200000936,1824
CRT01092020,123
CRTF210000357,1192
DIOT201505637A,582
CRTF210000430,1862
CRTF200000067,627
CRTF200000946,460
CRTF200001035,322
CRTF200000915,1463
