Cluster,Topics
0,"administration, asset, party, administrative, officer"
1,"paying, theatre, machine, majesty, vending"
2,"primary, gla, yard, grove, wattle"
3,"model, child, health, review, cahs"
4,"personnel, south, clerical, region, west"
5,"supply, tafe, retail, sites, electricity"
6,"sites, street, william, 140, network"
7,"install, block, conditioners, split, air"
8,"planned, adolescent, preventative, reactive, maintenance"
9,"published, issued, following, australia, documents"
10,"transport, allocated, pta, consultant, mpu"
11,"prosthetic, orthotic, rehabilitation, health, medical"
12,"mcf, rfds, asset, rack, dfes"
13,"high, science, senior, refurbishment, stem"
14,"health, hospital, memorial, king, edward"
15,"provide, contractor, regular, communities, cleaning"
16,"australia, force, osf, police, midland"
17,"requires, application, dmirs, analyst, systems"
18,"utility, aws, google, location, lks"
19,"www, https, accepted, quotes, lodgement"
20,"covered, school, area, study, feasibility"
21,"minimum, net, analyst, programmer, developer"
22,"transition, 365, cloud, microsoft, azure"
23,"19, costs, aged, covid, care"
24,"confirm, contact, tenderers, mandatory, attendance"
25,"programs, aquatic, hydrotherapy, swimming, pool"
26,"school, transport, public, authority, bus"
27,"school, primary, education, wall, operable"
28,"western, australia, primary, school, invited"
29,"gairdner, delivery, supply, commissioning, endoscope"
30,"sites, maintenance, various, finance, routine"
31,"derby, communities, regular, office, cleaning"
32,"police, stirling, william, street, perth"
33,"cua, personnel, infrastructure, tps2019, dtf"
34,"inner, armadale, level, crossing, metronet"
35,"rowse, nulsen, street, refurbishment, lot"
36,"high, school, senior, electricity, cuaelc2012"
37,"kits, profiling, dna, forensic, biology"
38,"surveying, rollingstock, replacement, systems, radio"
39,"development, pmo, implementation, plan, program"
40,"corporation, rems, icn, municipal, remote"
41,"manager, cuaicts2015, integration, ict, program"
42,"stanley, fiona, rockingham, health, hospital"
43,"report, laboratory, writer, medicine, pathwest"
44,"representative, superintendent, design, engineering, karijini"
45,"ict, cloud, technical, technology, finance"
46,"structure, 3019, culvert, replacement, bridge"
47,"authority, contract, transport, school, bus"
48,"science, architectural, classrooms, school, refurbishment"
